bridge_id,peer_id,peer_class,bridge_cpp,peer_cpp
A5048841778,A5014842247,A-only,42.55172413793103,34.03333333333333
A5048841778,A5100730626,C-only,42.55172413793103,23.263157894736842
A5048841778,A5100350736,C-only,42.55172413793103,71.32692307692308
A5048841778,A5100756470,C-only,42.55172413793103,27.0
A5002738130,A5030845483,A-only,21.583333333333332,61.5
A5002738130,A5038856828,A-only,21.583333333333332,52.285714285714285
A5002738130,A5086629803,A-only,21.583333333333332,56.90909090909091
A5002738130,A5001796684,C-only,21.583333333333332,36.5
A5002738130,A5110611391,C-only,21.583333333333332,43.333333333333336
A5002738130,A5060704089,C-only,21.583333333333332,46.714285714285715
A5100382497,A5016025447,A-only,103.76470588235294,50.705882352941174
A5100382497,A5017119483,A-only,103.76470588235294,53.0
